,precision,recall,f1-score,support
lamp,0.8709677419354839,0.7297297297297297,0.7941176470588235,37.0
later,0.8571428571428571,0.9473684210526315,0.9,38.0
like,0.9375,0.7894736842105263,0.8571428571428572,38.0
lion,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0
lips,0.8,0.7,0.7466666666666666,40.0
listen,0.8333333333333334,0.875,0.8536585365853658,40.0
look,0.7777777777777778,0.6829268292682927,0.7272727272727273,41.0
loud,0.7272727272727273,0.8648648648648649,0.7901234567901235,37.0
mad,0.8292682926829268,0.8947368421052632,0.860759493670886,38.0
make,0.868421052631579,0.825,0.8461538461538461,40.0
man,0.8888888888888888,0.8205128205128205,0.8533333333333333,39.0
many,0.8181818181818182,0.9473684210526315,0.8780487804878049,38.0
milk,0.8717948717948718,0.9444444444444444,0.9066666666666667,36.0
minemy,0.7894736842105263,0.8108108108108109,0.8,37.0
mitten,0.9032258064516129,0.7777777777777778,0.835820895522388,36.0
mom,0.7441860465116279,0.8421052631578947,0.7901234567901234,38.0
moon,0.9459459459459459,0.9210526315789473,0.9333333333333332,38.0
morning,0.8055555555555556,0.7837837837837838,0.7945205479452055,37.0
mouse,0.8333333333333334,0.8536585365853658,0.8433734939759037,41.0
mouth,0.6923076923076923,0.7105263157894737,0.7012987012987013,38.0
nap,0.92,0.6052631578947368,0.7301587301587301,38.0
napkin,0.9142857142857143,0.8,0.8533333333333333,40.0
night,0.7058823529411765,0.7058823529411765,0.7058823529411765,34.0
no,0.84375,0.7297297297297297,0.7826086956521738,37.0
noisy,0.7837837837837838,0.8285714285714286,0.8055555555555555,35.0
nose,1.0,0.918918918918919,0.9577464788732395,37.0
not,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
now,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
nuts,0.972972972972973,0.8780487804878049,0.923076923076923,41.0
old,0.9090909090909091,0.7692307692307693,0.8333333333333333,39.0
on,0.6666666666666666,0.7777777777777778,0.717948717948718,36.0
open,0.72,0.5,0.5901639344262295,36.0
orange,0.8571428571428571,0.9230769230769231,0.888888888888889,39.0
outside,0.875,0.7368421052631579,0.7999999999999999,38.0
owie,0.8823529411764706,0.8333333333333334,0.8571428571428571,36.0
owl,0.9473684210526315,0.9,0.9230769230769231,40.0
pajamas,0.90625,0.7435897435897436,0.8169014084507042,39.0
pen,0.7,0.7,0.7,40.0
pencil,0.7647058823529411,0.6842105263157895,0.7222222222222222,38.0
penny,0.8571428571428571,0.7692307692307693,0.8108108108108107,39.0
person,0.7142857142857143,0.8064516129032258,0.7575757575757576,31.0
pig,0.8285714285714286,0.8285714285714286,0.8285714285714286,35.0
pizza,0.9,0.9,0.9,40.0
please,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
police,0.96875,0.8157894736842105,0.8857142857142857,38.0
pool,0.7368421052631579,0.7777777777777778,0.7567567567567567,36.0
potty,0.7619047619047619,0.9142857142857143,0.8311688311688312,35.0
pretend,0.825,0.825,0.825,40.0
pretty,0.7674418604651163,0.8461538461538461,0.8048780487804877,39.0
puppy,0.7741935483870968,0.6857142857142857,0.7272727272727272,35.0
puzzle,0.6829268292682927,0.8235294117647058,0.7466666666666667,34.0
quiet,0.8157894736842105,0.8611111111111112,0.8378378378378377,36.0
radio,0.925,0.9487179487179487,0.9367088607594937,39.0
rain,0.7111111111111111,0.8648648648648649,0.7804878048780488,37.0
read,0.8285714285714286,0.8285714285714286,0.8285714285714286,35.0
red,0.7368421052631579,0.7777777777777778,0.7567567567567567,36.0
refrigerator,0.8529411764705882,0.8529411764705882,0.8529411764705882,34.0
ride,0.7878787878787878,0.7647058823529411,0.7761194029850745,34.0
room,0.6904761904761905,0.7837837837837838,0.7341772151898734,37.0
sad,0.9210526315789473,0.8974358974358975,0.9090909090909091,39.0
same,0.7948717948717948,0.8611111111111112,0.8266666666666667,36.0
say,0.75,0.7894736842105263,0.7692307692307692,38.0
scissors,0.7575757575757576,0.6944444444444444,0.7246376811594203,36.0
see,0.8571428571428571,0.9230769230769231,0.888888888888889,39.0
shhh,0.9302325581395349,0.975609756097561,0.9523809523809524,41.0
shirt,0.7027027027027027,0.7428571428571429,0.7222222222222223,35.0
shoe,0.6666666666666666,0.9142857142857143,0.7710843373493975,35.0
shower,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0
sick,0.9705882352941176,0.868421052631579,0.9166666666666667,38.0
sleep,0.5869565217391305,0.7105263157894737,0.6428571428571428,38.0
sleepy,0.8055555555555556,0.7073170731707317,0.7532467532467532,41.0
smile,0.8787878787878788,0.7837837837837838,0.8285714285714285,37.0
snack,0.9,0.7105263157894737,0.7941176470588235,38.0
snow,0.8888888888888888,0.8421052631578947,0.8648648648648649,38.0
